index,source,source link,hosted link,screenshot link
1,Comments or Posts with powerful Christian auras,https://www.facebook.com/powerfulchristianauras/photos/a.120890682718586/185863132888007/?type=3&theater,,
2,comments or Posts with powerful Christian auras,https://www.facebook.com/powerfulchristianauras/photos/p.185935232880797/185935232880797/?type=3&theater,,
3,comments or Posts with powerful Christian auras,https://www.facebook.com/CloudsAreRiddles/photos/p.1090972551303743/1090972551303743/?type=3&theater,,
4,comments or Posts with powerful Christian auras,https://www.facebook.com/photo.php?fbid=3109068865815768&set=p.3109068865815768&type=3&theater,,
5,comments or Posts with powerful Christian auras,https://www.facebook.com/photo.php?fbid=3109067709149217&set=p.3109067709149217&type=3&theater,,
6,comments or Posts with powerful Christian auras,https://www.facebook.com/photo.php?fbid=158601749139498&set=p.158601749139498&type=3&theater,,
7,Now Dis,https://www.facebook.com/NOWdisX/photos/a.1977429268980445/3486701954719828/?type=3&theater,,
8,MPPintarich,https://twitter.com/MPPintarich/status/1290975917280333824,,
9,cbrbuck2,https://twitter.com/cbrbuck2/status/1291008734215380992,,
10,Ben09h,https://twitter.com/Ben09h/status/1290749936389120002,,
11,almodozo,https://twitter.com/almodozo/status/1290694206214856705/photo/1,,
12,jellesteeg,https://twitter.com/jellesteeg/status/1290725934694268929,,
13,SteveHayward,https://twitter.com/SteveHayward/status/1290737490660167680,,
14,YuriDunkavic,https://twitter.com/YuriDunkavic/status/1290734965345353730,,
,,,,
,,,,
15,YuriDunkavic,https://twitter.com/YuriDunkavic/status/1290735777052332033,,
,,,,
,,,,
16,timmerenginerd,https://twitter.com/timmerenginerd/status/1290776338320760833,,
,,,,
,,,,
17,AhmVaryHungary,https://twitter.com/AhmVaryHungry/status/1290747187836715011,,
18,Cypto_Jerm,https://twitter.com/Crypto_Jerm/status/1290748646926045184/photo/1,,
19,RealSamBarak,https://twitter.com/RealSamBarak/status/1290790704181018627/photo/1,,
20,OhHePopular,https://twitter.com/OhHePopular/status/1290747296871849984,,
21,imranarainppp,https://twitter.com/imranarainppp/status/1290729309301350400,,
22,rajaforu,https://twitter.com/rajaforu/status/1290733368938835973,,
23,rajaforu,https://twitter.com/rajaforu/status/1290734571558969345,,
24,EpicKyiv,https://twitter.com/EpicKyiv/status/1290739480232701953,,
